Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2018,134,1347,71,1254,61,N,0,28,59,6,17,9,13,8,30,17,15,6,2,23,19,50,7,26,16,23,6,26,13,15,3,0,19
2018,134,1382,65,1417,58,N,0,23,60,4,19,15,21,7,24,7,6,11,0,14,21,50,10,30,6,10,7,34,13,20,1,6,18
2018,135,1393,60,1113,56,N,0,20,49,7,20,13,23,10,27,10,11,5,2,16,21,52,11,32,3,10,8,26,19,11,5,3,19
2018,135,1411,64,1300,46,N,0,21,57,6,24,16,19,13,28,9,14,7,8,12,21,69,0,14,4,6,20,23,10,15,5,2,18
2018,136,1104,86,1439,83,N,0,30,50,8,18,18,27,10,16,19,17,3,3,18,30,54,9,18,14,20,10,12,14,14,7,1,22
2018,136,1138,89,1112,68,N,0,34,62,15,30,6,7,8,24,13,10,4,2,15,29,64,2,18,8,11,12,19,13,9,4,3,11
2018,136,1181,89,1233,67,N,0,36,67,13,30,4,8,14,25,24,12,5,2,12,26,60,5,24,10,14,10,19,16,10,5,2,16
2018,136,1196,77,1382,62,N,0,27,65,10,32,13,18,9,26,19,9,11,4,21,17,48,3,19,25,34,6,33,10,18,6,3,19
2018,136,1211,68,1422,64,N,0,25,59,5,23,13,25,10,27,7,10,5,2,14,28,67,3,22,5,10,13,28,7,13,4,1,22
2018,136,1222,67,1361,65,N,0,22,59,5,13,18,24,7,32,5,7,3,1,25,20,54,4,16,21,35,11,33,11,12,4,5,19
2018,136,1242,76,1335,60,N,0,27,61,7,17,15,17,8,33,11,8,8,6,14,22,56,11,29,5,14,5,28,16,11,4,2,13
2018,136,1246,78,1172,73,N,0,26,51,0,6,26,32,6,30,11,10,6,3,19,24,61,11,33,14,17,8,20,12,9,2,2,22
2018,136,1260,64,1274,62,N,0,26,55,8,21,4,9,8,19,19,10,6,3,14,25,49,4,9,8,13,9,24,11,16,7,7,13
2018,136,1276,61,1285,47,N,0,21,47,5,16,14,22,5,31,11,14,4,3,14,18,56,3,15,8,11,8,25,7,12,7,2,21
2018,136,1326,81,1355,73,N,0,27,72,12,40,15,19,15,32,15,9,10,2,15,24,63,13,31,12,14,8,31,8,13,3,2,15
2018,136,1348,83,1328,78,N,1,30,77,11,28,12,20,15,26,16,6,4,5,17,29,69,4,20,16,24,17,37,12,14,4,5,18
2018,136,1371,94,1301,83,N,0,28,58,7,21,31,39,11,29,12,7,6,2,23,28,61,11,30,16,27,11,23,14,10,4,0,30
2018,136,1397,73,1460,47,N,0,27,60,5,18,14,16,13,31,13,12,6,6,17,19,60,4,21,5,9,11,21,9,13,5,2,17
2018,136,1403,70,1372,60,N,0,25,54,4,16,16,24,9,32,14,13,5,6,21,18,47,5,14,19,28,5,26,9,13,10,3,23
2018,136,1437,87,1347,61,N,0,31,52,14,27,11,14,7,27,20,13,7,5,16,20,59,8,24,13,16,14,17,10,13,6,3,17
2018,137,1120,62,1158,58,N,0,21,59,5,24,15,32,12,24,10,12,10,4,18,23,51,5,22,7,14,6,34,10,21,6,0,23
2018,137,1139,79,1116,62,N,0,29,59,11,26,10,12,11,34,15,14,5,0,20,20,56,4,18,18,23,5,20,9,7,6,6,14
2018,137,1153,68,1209,53,N,0,24,62,9,30,11,14,20,26,14,8,7,3,10,21,53,8,27,3,3,6,20,3,9,6,5,15
2018,137,1155,79,1308,68,N,0,33,59,6,14,7,9,3,28,11,8,6,4,18,24,62,9,25,11,17,8,25,16,11,3,1,13
2018,137,1199,67,1281,54,N,0,21,49,7,15,18,31,5,30,18,11,9,6,18,16,49,8,24,14,21,6,30,8,16,5,4,21
2018,137,1243,69,1166,59,N,0,23,50,9,19,14,25,7,28,12,11,6,5,11,23,68,9,34,4,5,17,28,12,13,6,3,21
2018,137,1267,81,1455,75,N,0,28,60,9,23,16,22,7,23,11,9,12,4,15,27,65,8,29,13,17,16,28,17,15,4,1,18
2018,137,1277,82,1137,78,N,0,31,58,5,17,15,22,11,29,21,10,4,6,22,23,55,11,20,21,28,7,21,13,8,3,1,23
2018,137,1305,87,1400,83,N,1,32,63,11,29,12,20,5,29,18,7,2,6,17,31,67,11,24,10,18,12,30,12,9,4,4,16
2018,137,1314,84,1252,66,N,0,31,60,9,22,13,18,10,37,19,18,8,2,17,23,64,7,28,13,15,6,23,14,13,9,2,18
2018,137,1345,74,1168,48,N,0,23,59,9,22,19,27,12,32,10,9,5,4,18,18,50,4,18,8,16,5,29,7,17,3,5,24
2018,137,1393,57,1395,52,N,0,21,57,3,14,12,15,12,25,8,7,6,5,18,19,48,3,17,11,17,8,26,14,13,3,4,16
2018,137,1401,73,1344,69,N,0,26,52,6,16,15,26,11,33,13,14,2,8,13,27,62,6,20,9,12,5,21,17,6,5,0,23
2018,137,1420,74,1438,54,N,0,26,48,12,24,10,14,4,29,16,12,2,0,13,23,56,4,22,4,8,5,17,5,7,8,1,16
2018,137,1452,85,1293,68,N,0,32,62,4,11,17,24,14,19,18,8,9,4,23,21,51,7,23,19,23,14,22,12,16,5,6,23
2018,137,1462,102,1411,83,N,0,35,64,11,24,21,32,10,32,19,13,6,10,22,26,65,8,25,23,27,9,22,12,11,10,3,21
2018,138,1181,87,1348,62,N,0,29,51,10,21,19,24,9,27,20,14,5,1,15,25,63,7,19,5,13,13,16,15,13,5,2,19
2018,138,1211,90,1326,84,N,0,31,58,9,22,19,31,13,26,15,13,5,4,22,30,66,11,26,13,16,8,17,12,12,6,2,24
2018,138,1242,83,1371,79,N,0,28,56,9,21,18,26,9,23,18,11,7,3,16,29,64,10,24,11,16,15,24,9,15,3,3,24
2018,138,1246,95,1138,75,N,0,36,64,7,15,16,23,13,29,16,13,6,4,20,26,67,7,31,16,22,14,16,8,10,4,1,21
2018,138,1260,63,1397,62,N,0,22,44,8,20,11,16,5,22,17,10,3,1,13,25,55,9,25,3,6,6,18,15,7,8,2,17
2018,138,1276,64,1222,63,N,0,21,59,8,30,14,20,10,28,13,7,4,5,22,20,54,7,18,16,22,10,31,8,10,3,2,19
2018,138,1403,69,1196,66,N,0,28,63,6,15,7,14,13,26,17,8,4,5,14,25,63,6,22,10,15,13,26,11,11,5,9,18
2018,138,1437,81,1104,58,N,0,25,63,17,41,14,16,13,22,18,10,6,5,21,20,48,4,16,14,23,9,24,13,15,7,3,13
2018,139,1155,84,1120,53,N,0,29,61,10,26,16,23,9,41,19,7,4,6,16,17,66,7,32,12,15,7,25,9,6,4,3,19
2018,139,1199,75,1462,70,N,0,24,55,8,23,19,22,10,22,7,14,10,4,23,23,49,5,13,19,30,12,21,11,18,6,2,22
2018,139,1243,50,1420,43,N,0,18,44,1,12,13,18,5,30,4,18,13,2,17,14,47,6,22,9,18,6,22,6,17,11,2,17
2018,139,1305,75,1153,73,N,0,30,61,6,18,9,16,8,25,13,2,5,0,15,27,66,5,17,14,17,15,29,13,7,1,3,16
2018,139,1345,76,1139,73,N,0,26,52,11,24,13,18,11,19,12,10,3,3,15,27,55,6,20,13,14,9,19,12,8,5,3,20
2018,139,1393,55,1277,53,N,0,15,42,1,8,24,31,7,23,3,12,5,6,20,17,66,8,37,11,16,29,22,11,14,4,2,22
2018,139,1401,86,1314,65,N,0,31,60,10,24,14,21,7,43,17,14,5,8,13,26,78,6,31,7,7,9,27,17,6,7,0,20
2018,139,1452,94,1267,71,N,0,33,66,12,25,16,18,15,25,19,16,9,4,22,22,56,12,26,15,21,10,14,18,18,8,3,16
2018,143,1199,75,1211,60,N,0,27,58,6,20,15,22,10,30,19,13,8,9,22,20,59,5,20,15,24,14,28,7,13,5,2,16
